000000	Unified	0
000001	Unified_School	0
000010	APS	0
0000110	CPS	0
0000111	DPS	0
0001000	PE	0
0001001	ABS	0
00010100	CE	0
00010101	UL	0
00010110	ISO	0
00010111	PCI	0
0001100	CAT	0
00011010	ACT	0
00011011	SAT	0
000111000	CFA	0
000111001	SES	0
0001110100	AMA	0
0001110101	ASA	0
0001110110	CSA	0
0001110111	CAP	0
000111100	IPC	0
0001111010	BMC	0
0001111011	CMC	0
0001111100	NA	0
00011111010	EC	0
00011111011	CEC	0
00011111100	ARC	0
00011111101	EDC	0
00011111110	CCS	0
000111111110	NCC	0
0001111111110	MCC	0
0001111111111	CCC	0
0010	ATS	0
001100	ADS	0
0011010	CAD	0
0011011	GIS	0
001110	CV	0
0011110	Outlook	0
0011111	Excel	0
01000	AN	0
010010	an	0
010011	An	0
01010000	AS	0
01010001	HE	0
01010010	OR	0
010100110	SO	0
0101001110	ME	0
0101001111	RE	0
01010100	STAR	0
010101010	GO	0
010101011	TEAM	0
010101100	POLICE	0
0101011010	MAN	0
01010110110	ONE	0
01010110111	TWO	0
0101011100	JOHN	0
0101011101	PAUL	0
010101111000	DO	0
0101011110010	NOW	0
01010111100110	YOU	0
010101111001110	ALL	0
0101011110011110	NOT	0
0101011110011111	NO	0
010101111010	IF	0
010101111011	BIG	0
010101111100	NEWS	0
0101011111010	NEW	0
0101011111011	CITY	0
010101111110	WHEN	0
0101011111110	AFTER	0
01010111111110	TO	0
0101011111111100	OUT	0
01010111111111010	AT	0
01010111111111011000	THIS	0
01010111111111011001	IT_'S	0
01010111111111011010	THE	0
01010111111111011011	'S	0
010101111111110111000	ON_THE	0
0101011111111101110010	IN_THE	0
0101011111111101110011	OF_THE	0
010101111111110111010	AND	0
0101011111111101110110	FROM	0
01010111111111011101110	FOR	0
01010111111111011101111	WITH	0
01010111111111011110	IN	0
01010111111111011111	ON	0
0101011111111110	WHAT	0
01010111111111110	IS	0
01010111111111111	THAT	0
010110	ST	0
0101110	CAN	0
0101111	CAR	0
01100000	VI	0
011000010	IV	0
0110000110	II	0
0110000111	III	0
01100010	V	0
01100011	X	0
0110010	Raymond	0
011001100	Jr	0
0110011010	Jr.	0
0110011011	Sr.	0
011001110	MD	0
0110011110	I.	0
0110011111000	E.	0
0110011111001	W.	0
0110011111010	S.	0
0110011111011	N.	0
011001111110	O.	0
0110011111110	V.	0
01100111111110	B.	0
